"display_title" "opening_date" "publication_date" "url" "mpaa_rating" "critics_pick"
"19" "A Ghost Story" "2017-07-07" "2017-07-05" "http://www.nytimes.com/2017/07/05/movies/review-a-ghost-story.html" "R" 1
"20" "A Good American" "2017-02-03" "2017-02-02" "http://www.nytimes.com/2017/02/02/movies/a-good-american-review.html" "" 0
"21" "A Gray State" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/review-a-gray-state-behind-a-filmmakers-madness.html" "" 0
"22" "A Monster Calls" "2017-01-06" "2016-12-22" "http://www.nytimes.com/2016/12/22/movies/a-monster-calls-review.html" "PG-13" 0
"23" "A Taxi Driver" "2017-08-11" "2017-08-10" "http://www.nytimes.com/2017/08/10/movies/a-taxi-driver-review.html" "" 0
"24" "A United Kingdom" "2017-02-10" "2017-02-09" "http://www.nytimes.com/2017/02/09/movies/review-a-united-kingdom-with-love-that-tested-racial-tolerance.html" "PG-13" 1
"25" "A Woman, a Part" "2017-03-22" "2017-03-21" "http://www.nytimes.com/2017/03/21/movies/a-woman-a-part-review.html" "" 0
"26" "Actor Martinez" "2017-03-10" "2017-03-16" "http://www.nytimes.com/2017/03/16/movies/actor-martinez-review.html" "" 0
"27" "After Auschwitz" "2017-03-25" "2018-04-19" "http://www.nytimes.com/2018/04/19/movies/after-auschwitz-review.html" "" 0
"28" "After Love" "2017-08-09" "2017-08-08" "http://www.nytimes.com/2017/08/08/movies/after-love-review.html" "" 0
"29" "After the Storm" "2017-03-17" "2017-03-15" "http://www.nytimes.com/2017/03/15/movies/after-the-storm-review.html" "" 1
"30" "Afterimage" "2017-05-19" "2017-05-17" "http://www.nytimes.com/2017/05/17/movies/afterimage-review.html" "" 1
"31" "Aida's Secrets" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/aidas-secrets-review.html" "" 1
"32" "AL DI QUA (Life/Here)" "2017-11-24" "2017-11-23" "http://www.nytimes.com/2017/11/23/movies/review-al-di-qua-homelessness-through-an-artsy-filter.html" "" 0
"33" "Alien: Covenant" "2017-05-19" "2017-05-17" "http://www.nytimes.com/2017/05/17/movies/alien-covenant-review-ridley-scott.html" "R" 0
"34" "Alina" "2017-09-15" "2017-09-14" "http://www.nytimes.com/2017/09/14/movies/alina-review.html" "" 0
"35" "All Eyez on Me" "2017-06-16" "2017-06-15" "http://www.nytimes.com/2017/06/15/movies/all-eyez-on-me-review.html" "R" 0
"36" "All I See Is You" "2017-10-27" "2017-10-26" "http://www.nytimes.com/2017/10/26/movies/all-i-see-is-you-review-blake-lively.html" "R" 0
"37" "All the Money in the World" "2017-12-25" "2017-12-24" "http://www.nytimes.com/2017/12/24/movies/all-the-money-in-the-world-review-christopher-plummer.html" "R" 1
"38" "All the Rage (Saved by Sarno)" "2017-06-23" "2017-06-22" "http://www.nytimes.com/2017/06/22/movies/all-the-rage-review.html" "" 0
"39" "All These Sleepless Nights" "2017-04-07" "2017-04-13" "http://www.nytimes.com/2017/04/13/movies/all-these-sleepless-nights-review.html" "R" 0
"40" "All This Panic" "2017-03-31" "2017-03-30" "http://www.nytimes.com/2017/03/30/movies/all-this-panic-review.html" "" 0
"41" "Along for the Ride" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/along-for-the-ride-review-dennis-hopper.html" "" 0
"42" "Along With the Gods: The Two Worlds" "2017-12-22" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/along-with-the-gods-review.html" "" 0
"43" "American Assassin" "2017-09-15" "2017-09-14" "http://www.nytimes.com/2017/09/14/movies/american-assassin-review-michael-keaton.html" "R" 0
"44" "American Fable" "2017-02-17" "2017-02-16" "http://www.nytimes.com/2017/02/16/movies/american-fable-review.html" "" 0
"45" "American Made" "2017-09-29" "2017-09-28" "http://www.nytimes.com/2017/09/28/movies/american-made-review-tom-cruise.html" "R" 0
"46" "An Inconvenient Sequel: Truth to Power" "2017-08-04" "2017-07-27" "http://www.nytimes.com/2017/07/27/movies/an-inconvenient-sequel-review-al-gore.html" "PG" 1
"47" "Angkor Awakens: A Portrait of Cambodia" "2017-05-05" "2017-05-03" "http://www.nytimes.com/2017/05/03/movies/angkor-awakens-review.html" "" 1
"48" "Annabelle: Creation" "2017-08-11" "2017-08-10" "http://www.nytimes.com/2017/08/10/movies/annabelle-creation-review.html" "R" 0
"49" "Another Evil" "2017-05-05" "2017-05-04" "http://www.nytimes.com/2017/05/04/movies/another-evil-review.html" "" 0
"50" "Apprentice" "2017-03-03" "2017-03-02" "http://www.nytimes.com/2017/03/02/movies/apprentice-review.html" "" 1
"51" "Armed Response" "2017-08-04" "2017-08-03" "http://www.nytimes.com/2017/08/03/movies/armed-response-review.html" "R" 0
"52" "Arsenal" "2017-01-06" "2017-01-05" "http://www.nytimes.com/2017/01/05/movies/arsenal-review-nicolas-cage.html" "R" 0
"53" "As You Are" "2017-02-24" "2017-02-23" "http://www.nytimes.com/2017/02/23/movies/as-you-are-review.html" "" 0
"54" "Ascent" "2017-06-07" "2017-06-06" "http://www.nytimes.com/2017/06/06/movies/ascent-review.html" "" 0
"55" "Atomic Blonde" "2017-07-28" "2017-07-27" "http://www.nytimes.com/2017/07/27/movies/atomic-blonde-review-charlize-theron.html" "R" 0
"56" "Atomica" "2017-03-17" "2017-03-16" "http://www.nytimes.com/2017/03/16/movies/review-atomica-syfy-tom-sizemore-dominic-monaghan.html" "" 0
"57" "Austin Found" "2017-07-07" "2017-07-05" "http://www.nytimes.com/2017/07/05/movies/review-in-austin-found-child-abduction-is-played-for-laughs.html" "" 0
"58" "Baby Driver" "2017-06-28" "2017-06-27" "http://www.nytimes.com/2017/06/27/movies/baby-driver-review-edgar-wright-ansel-elgort.html" "R" 1
"59" "Bad Kids of Crestview Academy" "2017-01-13" "2017-01-12" "http://www.nytimes.com/2017/01/12/movies/bad-kids-of-crestview-academy-review.html" "R" 0
"60" "Badrinath Ki Dulhania" "2017-03-10" "2017-03-12" "http://www.nytimes.com/2017/03/12/movies/badrinath-ki-dulhania-review.html" "" 0
"61" "Band Aid" "2017-06-09" "2017-06-01" "http://www.nytimes.com/2017/06/01/movies/band-aid-review.html" "" 0
"62" "Battle of the Sexes" "2017-09-22" "2017-09-21" "http://www.nytimes.com/2017/09/21/movies/review-battle-of-the-sexes-billie-jean-king-bobby-riggs.html" "PG-13" 0
"63" "Baywatch" "2017-05-25" "2017-05-24" "http://www.nytimes.com/2017/05/24/movies/baywatch-review-zac-efron-dwayne-johnson.html" "R" 0
"64" "Beach Rats" "2017-08-25" "2017-08-24" "http://www.nytimes.com/2017/08/24/movies/beach-rats-review.html" "R" 1
"65" "Beatriz at Dinner" "2017-06-09" "2017-06-08" "http://www.nytimes.com/2017/06/08/movies/beatriz-at-dinner-review-salma-hayek.html" "R" 0
"66" "Beauty and the Beast" "2017-03-17" "2017-03-03" "http://www.nytimes.com/2017/03/03/movies/beauty-and-the-beast-review.html" "PG" 1
"67" "Before I Fall" "2017-03-03" "2017-03-01" "http://www.nytimes.com/2017/03/01/movies/before-i-fall-review-zoey-deutch.html" "PG-13" 0
"68" "Ben-Gurion, Epilogue" "2017-03-03" "2017-03-02" "http://www.nytimes.com/2017/03/02/movies/the-settlers-and-ben-gurion-epilogue-reviews.html" "" 0
"69" "Bending the Arc" "2017-10-06" "2017-10-05" "http://www.nytimes.com/2017/10/05/movies/bending-the-arc-review-paul-farmer-partners-in-health.html" "" 0
"70" "Berlin Syndrome" "2017-05-26" "2017-05-25" "http://www.nytimes.com/2017/05/25/movies/berlin-syndrome-review.html" "R" 0
"71" "Betting on Zero" "2017-03-17" "2017-03-16" "http://www.nytimes.com/2017/03/16/movies/betting-on-zero-review.html" "" 0
"72" "Beyond Skyline" "2017-12-15" "2017-12-14" "http://www.nytimes.com/2017/12/14/movies/beyond-skyline-review.html" "R" 0
"73" "Bill Frisell: A Portrait" "2017-12-06" "2017-12-05" "http://www.nytimes.com/2017/12/05/movies/bill-frisell-a-portrait-review.html" "" 1
"74" "Birdboy: The Forgotten Children" "2017-12-15" "2017-12-14" "http://www.nytimes.com/2017/12/14/movies/birdboy-the-forgotten-children-review.html" "" 0
"75" "Birth of the Dragon" "2017-08-25" "2017-08-25" "http://www.nytimes.com/2017/08/25/movies/birth-of-the-dragon-review-bruce-lee.html" "PG-13" 0
"76" "Birthright: A War Story" "2017-07-14" "2017-07-13" "http://www.nytimes.com/2017/07/13/movies/birthright-a-war-story.html" "" 0
"77" "Bitch" "2017-11-10" "2017-11-09" "http://www.nytimes.com/2017/11/09/movies/bitch-review.html" "" 1
"78" "Bitter Harvest" "2017-02-24" "2017-02-23" "http://www.nytimes.com/2017/02/23/movies/bitter-harvest-review.html" "R" 0
"79" "Blade of the Immortal" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/blade-of-the-immortal-review-takashi-miike.html" "R" 0
"80" "Blade Runner 2049" "2017-10-06" "2017-10-02" "http://www.nytimes.com/2017/10/02/movies/blade-runner-2049-review-ryan-gosling-harrison-ford.html" "R" 0
"81" "Blind" "2017-07-14" "2017-07-13" "http://www.nytimes.com/2017/07/13/movies/blind-review-alec-baldwin-demi-moore.html" "R" 0
"82" "Blood Stripe" "2017-09-29" "2017-09-28" "http://www.nytimes.com/2017/09/28/movies/blood-stripe-review.html" "" 0
"83" "Born in China" "2017-04-21" "2017-04-19" "http://www.nytimes.com/2017/04/19/movies/born-in-china-review.html" "G" 0
"84" "Brad's Status" "2017-09-15" "2017-09-14" "http://www.nytimes.com/2017/09/14/movies/brads-status-review-ben-stiller.html" "R" 0
"85" "Brave New Jersey" "2017-08-04" "2017-08-03" "http://www.nytimes.com/2017/08/03/movies/brave-new-jersey-review.html" "" 0
"86" "Brawl in Cell Block 99" "2017-10-06" "2017-10-05" "http://www.nytimes.com/2017/10/05/movies/brawl-in-cell-block-99-review-vince-vaughn.html" "Not Rated" 1
"87" "Breaking Point: The War for Democracy in Ukraine" "2017-02-14" "2018-03-01" "http://www.nytimes.com/2018/03/01/movies/breaking-point-review-ukraine.html" "" 0
"88" "Breathe" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/breathe-review-andrew-garfield-claire-foy-andy-serkis.html" "PG-13" 0
"89" "Bright" "2017-12-22" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/bright-review-will-smith-joel-edgerton.html" "" 0
"90" "Bronx Gothic" "2017-07-12" "2017-07-11" "http://www.nytimes.com/2017/07/11/movies/bronx-gothic-review-okwui-okpokwasili.html" "" 0
"91" "Buena Vista Social Club: Adios" "2017-05-26" "2017-05-24" "http://www.nytimes.com/2017/05/24/movies/buena-vista-social-club-adios-review.html" "PG" 1
"92" "Bugs" "2017-09-27" "2017-09-26" "http://www.nytimes.com/2017/09/26/movies/bugs-review.html" "" 1
"93" "Burden" "2017-05-05" "2017-05-04" "http://www.nytimes.com/2017/05/04/movies/burden-review-chris-burden.html" "" 0
"94" "Bushwick" "2017-08-25" "2017-08-24" "http://www.nytimes.com/2017/08/24/movies/bushwick-review-brittany-snow-dave-bautista.html" "" 0
"95" "Buster's Mal Heart" "2017-04-28" "2017-04-27" "http://www.nytimes.com/2017/04/27/movies/busters-mal-heart-review-rami-malek.html" "" 0
"96" "California Typewriter" "2017-08-18" "2017-08-17" "http://www.nytimes.com/2017/08/17/movies/california-typewriter-review.html" "" 0
"97" "Call Me by Your Name" "2017-11-24" "2017-11-22" "http://www.nytimes.com/2017/11/22/movies/call-me-by-your-name-review-armie-hammer.html" "R" 1
"98" "Camera Obscura" "2017-06-09" "2017-06-08" "http://www.nytimes.com/2017/06/08/movies/camera-obscura-review.html" "" 0
"99" "Can't Stop, Won't Stop: A Bad Boy Story" "2017-06-23" "2017-06-22" "http://www.nytimes.com/2017/06/22/movies/cant-stop-wont-stop-review-sean-combs-bad-boy.html" "" 0
"100" "Canners" "2017-03-01" "2017-03-09" "http://www.nytimes.com/2017/03/09/movies/canners-review.html" "" 0
"101" "Captain Underpants: The First Epic Movie" "2017-06-02" "2017-06-01" "http://www.nytimes.com/2017/06/01/movies/captain-underpants-review.html" "PG" 0
"102" "Cars 3" "2017-06-16" "2017-06-14" "http://www.nytimes.com/2017/06/14/movies/cars-3-review.html" "G" 1
"103" "Casting JonBenet" "2017-04-28" "2017-04-27" "http://www.nytimes.com/2017/04/27/movies/casting-jonbenet-review-jonbenet-ramsey.html" "" 0
"104" "Cezanne and I" "2017-03-31" "2017-03-29" "http://www.nytimes.com/2017/03/29/movies/cezanne-et-moi-review.html" "R" 0
"105" "Chasing Coral" "2017-07-14" "2017-07-13" "http://www.nytimes.com/2017/07/13/movies/chasing-coral-review.html" "" 1
"106" "Chasing Trane: The John Coltrane Documentary" "2017-04-14" "2017-04-13" "http://www.nytimes.com/2017/04/13/movies/chasing-trane-the-john-coltrane-documentary-review.html" "" 0
"107" "Chavela" "2017-10-04" "2017-10-03" "http://www.nytimes.com/2017/10/03/movies/chavela-review.html" "Not Rated" 0
"108" "CHIPS" "2017-03-24" "2017-03-23" "http://www.nytimes.com/2017/03/23/movies/chips-review.html" "R" 0
"109" "Chronically Metropolitan" "2017-08-04" "2017-08-03" "http://www.nytimes.com/2017/08/03/movies/chronically-metropolitan-review.html" "" 0
"110" "Chuck" "2017-05-05" "2017-05-03" "http://www.nytimes.com/2017/05/03/movies/chuck-review-liev-schreiber-chuck-wepner.html" "R" 0
"111" "Churchill" "2017-06-02" "2017-05-31" "http://www.nytimes.com/2017/05/31/movies/churchill-review.html" "PG" 0
"112" "Citizen Jane: Battle for the City" "2017-04-21" "2017-04-19" "http://www.nytimes.com/2017/04/19/movies/citizen-jane-battle-for-the-city-review.html" "" 0
"113" "City of Ghosts" "2017-07-07" "2017-07-06" "http://www.nytimes.com/2017/07/06/movies/city-of-ghosts-review.html" "R" 0
"114" "Claire in Motion" "2017-01-13" "2017-01-12" "http://www.nytimes.com/2017/01/12/movies/claire-in-motion-review.html" "" 0
"115" "Coco" "2017-11-22" "2017-11-21" "http://www.nytimes.com/2017/11/21/movies/coco-review-pixar-disney.html" "PG" 0
"116" "Columbus" "2017-08-04" "2017-08-03" "http://www.nytimes.com/2017/08/03/movies/columbus-review.html" "" 1
"117" "Company Town" "2017-09-08" "2017-09-07" "http://www.nytimes.com/2017/09/07/movies/company-town-review.html" "" 0
"118" "Cook Off!" "2017-11-17" "2017-11-16" "http://www.nytimes.com/2017/11/16/movies/review-cook-off-melissa-mccarthy.html" "R" 0
"119" "Crash Pad" "2017-09-26" "2017-10-26" "http://www.nytimes.com/2017/10/26/movies/crash-pad-review.html" "R" 0
"120" "Crooked House" "2017-11-21" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/crooked-house-review-glenn-close.html" "PG-13" 0
"121" "Crown Heights" "2017-08-18" "2017-08-17" "http://www.nytimes.com/2017/08/17/movies/crown-heights-review-lakeith-stanfield.html" "R" 0
"122" "Cuba and the Cameraman" "2017-11-24" "2017-11-23" "http://www.nytimes.com/2017/11/23/movies/cuba-and-the-cameraman-review.html" "" 0
"123" "Daddy's Home 2" "2017-11-10" "2017-11-09" "http://www.nytimes.com/2017/11/09/movies/review-in-daddys-home-2-mel-gibson-will-ferrell-mark-wahlberg.html" "PG-13" 0
"124" "Darkest Hour" "2017-11-22" "2017-11-21" "http://www.nytimes.com/2017/11/21/movies/darkest-hour-review-gary-oldman.html" "PG-13" 0
"125" "Darkness Rising" "2017-06-30" "2017-06-29" "http://www.nytimes.com/2017/06/29/movies/darkness-rising-review.html" "" 0
"126" "Dealt" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/dealt-review-richard-turner.html" "" 0
"127" "Dean" "2017-06-02" "2017-05-31" "http://www.nytimes.com/2017/05/31/movies/dean-review-demetri-martin.html" "PG-13" 0
"128" "Death Note" "2017-08-25" "2017-08-24" "http://www.nytimes.com/2017/08/24/movies/death-note-review.html" "" 0
"129" "Desolation" "2017-12-15" "2017-12-14" "http://www.nytimes.com/2017/12/14/movies/desolation-review.html" "" 0
"130" "Despicable Me 3" "2017-06-30" "2017-06-29" "http://www.nytimes.com/2017/06/29/movies/review-despicable-me-3-suggests-a-franchise-running-on-fumes.html" "PG" 0
"131" "Detroit" "2017-08-04" "2017-07-26" "http://www.nytimes.com/2017/07/26/movies/detroit-review.html" "R" 0
"132" "Diary of a Wimpy Kid: The Long Haul" "2017-05-19" "2017-05-17" "http://www.nytimes.com/2017/05/17/movies/review-diary-of-a-wimpy-kid-the-long-haul.html" "PG" 0
"133" "Dig Two Graves" "2017-03-24" "2017-03-23" "http://www.nytimes.com/2017/03/23/movies/dig-two-graves-review.html" "" 0
"134" "Dina" "2017-10-06" "2017-10-05" "http://www.nytimes.com/2017/10/05/movies/dina-review.html" "" 0
"135" "Do It Like An Hombre" "2017-09-01" "2017-08-31" "http://www.nytimes.com/2017/08/31/movies/hazlo-como-hombre-review.html" "R" 0
"136" "Don¡¯t Hang Up" "2017-02-10" "2017-02-09" "http://www.nytimes.com/2017/02/09/movies/dont-hang-up-review.html" "R" 0
"137" "Downsizing" "2017-12-22" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/downsizing-review-matt-damon-kristen-wiig.html" "R" 0
"138" "Drone" "2017-05-26" "2017-05-24" "http://www.nytimes.com/2017/05/24/movies/drone-review.html" "" 0
"139" "Dunkirk" "2017-07-21" "2017-07-20" "http://www.nytimes.com/2017/07/20/movies/dunkirk-review-christopher-nolan.html" "PG-13" 1
"140" "Dying Laughing" "2017-02-24" "2017-02-23" "http://www.nytimes.com/2017/02/23/movies/review-dying-laughing-about-bombing-onstage-or-conversely-killing.html" "" 0
"141" "Eagles of Death Metal" "2017-02-10" "2017-02-09" "http://www.nytimes.com/2017/02/09/movies/eagles-of-death-metal-review-colin-hanks.html" "" 0
"142" "Eloise" "2017-02-03" "2017-02-02" "http://www.nytimes.com/2017/02/02/movies/eloise-review-eliza-dushku.html" "R" 0
"143" "13 Minutes" "2017-06-30" "2017-06-29" "http://www.nytimes.com/2017/06/29/movies/13-minutes-review.html" "R" 0
"144" "Endless Poetry" "2017-07-14" "2017-07-13" "http://www.nytimes.com/2017/07/13/movies/review-endless-poetry-alejandro-jodorowskys-surreal-self-portrait.html" "Not Rated" 0
"145" "England Is Mine" "2017-08-25" "2017-08-24" "http://www.nytimes.com/2017/08/24/movies/england-is-mine-review.html" "" 0
"146" "Eric Clapton: Life in 12 Bars" "2017-11-24" "2017-11-23" "http://www.nytimes.com/2017/11/23/movies/eric-clapton-a-life-in-12-bars-review.html" "" 0
"147" "Everybody Loves Somebody" "2017-02-17" "2017-02-16" "http://www.nytimes.com/2017/02/16/movies/everybody-loves-somebody-review.html" "PG-13" 0
"148" "Everything, Everything" "2017-05-19" "2017-05-18" "http://www.nytimes.com/2017/05/18/movies/everything-everything-review.html" "PG-13" 0
"149" "Father Figures" "2017-12-22" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/father-figures-review-ed-helms-owen-wilson.html" "R" 0
"150" "Ferdinand" "2017-12-15" "2017-12-14" "http://www.nytimes.com/2017/12/14/movies/ferdinand-review.html" "PG" 0
"151" "Fifty Shades Darker" "2017-02-10" "2017-02-09" "http://www.nytimes.com/2017/02/09/movies/review-fifty-shades-darker-dakota-johnson.html" "R" 0
"152" "Finding Oscar" "2017-04-14" "2017-04-13" "http://www.nytimes.com/2017/04/13/movies/finding-oscar-review.html" "" 0
"153" "First Kill" "2017-07-21" "2017-07-20" "http://www.nytimes.com/2017/07/20/movies/first-kill-review.html" "R" 0
"154" "First They Killed My Father: A Daughter of Cambodia Remembers" "2017-09-15" "2017-09-13" "http://www.nytimes.com/2017/09/13/movies/first-they-killed-my-father-review-angelina-jolie.html" "" 0
"155" "Fist Fight" "2017-02-17" "2017-02-16" "http://www.nytimes.com/2017/02/16/movies/fist-fight-review-ice-cube-charlie-day.html" "R" 0
"156" "Five Came Back" "2017-03-31" "2017-03-30" "http://www.nytimes.com/2017/03/30/movies/five-came-back-review.html" "" 1
"157" "Flatliners" "2017-09-29" "2017-09-29" "http://www.nytimes.com/2017/09/29/movies/flatliners-review.html" "PG-13" 0
"158" "Folk Hero & Funny Guy" "2017-05-12" "2017-05-11" "http://www.nytimes.com/2017/05/11/movies/folk-hero-and-funny-guy-review.html" "" 0
"159" "Food Evolution" "2017-06-23" "2017-06-22" "http://www.nytimes.com/2017/06/22/movies/food-evolution-review.html" "" 0
"160" "Footnotes" "2017-07-14" "2017-07-13" "http://www.nytimes.com/2017/07/13/movies/footnotes-review.html" "" 0
"161" "For Ahkeem" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/review-in-for-ahkeem-a-last-option-for-a-troubled-teenager.html" "" 0
"162" "Frank Serpico" "2017-11-01" "2017-10-31" "http://www.nytimes.com/2017/10/31/movies/frank-serpico-review.html" "" 0
"163" "Free Fire" "2017-04-21" "2017-04-20" "http://www.nytimes.com/2017/04/20/movies/free-fire-review.html" "R" 1
"164" "From Nowhere" "2017-02-17" "2017-02-16" "http://www.nytimes.com/2017/02/16/movies/from-nowhere-review.html" "" 1
"165" "From the Land of the Moon" "2017-07-28" "2017-07-27" "http://www.nytimes.com/2017/07/27/movies/from-the-land-of-the-moon-review.html" "R" 0
"166" "Fun Mom Dinner" "2017-08-04" "2017-08-03" "http://www.nytimes.com/2017/08/03/movies/fun-mom-dinner-review.html" "R" 0
"167" "Gaga: Five Foot Two" "2017-09-22" "2017-09-21" "http://www.nytimes.com/2017/09/21/movies/gaga-five-foot-two-review.html" "" 0
"168" "Geostorm" "2017-10-20" "2017-10-20" "http://www.nytimes.com/2017/10/20/movies/geostorm-review-gerard-butler.html" "PG-13" 0
"169" "Get Me Roger Stone" "2017-05-12" "2017-05-11" "http://www.nytimes.com/2017/05/11/movies/get-me-roger-stone-review-donald-trump.html" "" 0
"170" "Get Out" "2017-02-24" "2017-02-23" "http://www.nytimes.com/2017/02/23/movies/get-out-review-jordan-peele.html" "R" 1
"171" "Ghost in the Shell" "2017-03-31" "2017-03-30" "http://www.nytimes.com/2017/03/30/movies/ghost-in-the-shell-review-scarlett-johansson.html" "PG-13" 0
"172" "Gifted" "2017-04-07" "2017-04-06" "http://www.nytimes.com/2017/04/06/movies/gifted-review.html" "PG-13" 0
"173" "Gilbert" "2017-04-01" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/wait-for-your-laugh-review-gilbert-gottfried-rose-marie.html" "" 0
"174" "Girls Trip" "2017-07-21" "2017-07-19" "http://www.nytimes.com/2017/07/19/movies/girls-trip-review-dargis-queen-latifah-regina-hall-tiffany-haddish-jada-pinkett-smith.html" "R" 0
"175" "God's Own Country" "2017-10-25" "2017-10-24" "http://www.nytimes.com/2017/10/24/movies/gods-own-country-review.html" "" 1
"176" "Going in Style" "2017-04-07" "2017-04-06" "http://www.nytimes.com/2017/04/06/movies/going-in-style-review.html" "PG-13" 0
"177" "Gold" "2017-01-27" "2017-01-26" "http://www.nytimes.com/2017/01/26/movies/gold-review-matthew-mcconaughey.html" "R" 0
"178" "Good Time" "2017-08-11" "2017-08-10" "http://www.nytimes.com/2017/08/10/movies/good-time-review-robert-pattinson.html" "R" 0
"179" "Growing Up Smith" "2017-02-03" "2017-02-02" "http://www.nytimes.com/2017/02/02/movies/growing-up-smith-review.html" "PG-13" 0
"180" "Guardians of the Galaxy Vol. 2" "2017-05-05" "2017-05-04" "http://www.nytimes.com/2017/05/04/movies/guardians-of-the-galaxy-2-review-chris-pratt.html" "PG-13" 0
"181" "Handsome Devil" "2017-06-02" "2017-06-01" "http://www.nytimes.com/2017/06/01/movies/handsome-devil-review.html" "" 0
"182" "Hangman" "2017-11-24" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/hangman-review-al-pacino.html" "R" 0
"183" "Happy Death Day" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/happy-death-day-review.html" "PG-13" 0
"184" "Happy End" "2017-12-22" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/happy-end-review-michael-haneke.html" "R" 1
"185" "Harmonium" "2017-06-16" "2017-06-15" "http://www.nytimes.com/2017/06/15/movies/harmonium-review.html" "Not Rated" 1
"186" "Harold and Lillian: A Hollywood Love Story" "2017-04-28" "2017-04-27" "http://www.nytimes.com/2017/04/27/movies/harold-and-lillian-review.html" "" 1
"187" "Hello Again" "2017-11-08" "2017-11-07" "http://www.nytimes.com/2017/11/07/movies/hello-again-review.html" "" 0
"188" "Hidden Figures" "2017-01-06" "2016-12-22" "http://www.nytimes.com/2016/12/22/movies/hidden-figures-review.html" "PG" 0
"189" "Hollow in the Land" "2017-12-08" "2017-12-07" "http://www.nytimes.com/2017/12/07/movies/hollow-in-the-land-review-dianna-agron.html" "" 0
"190" "Home Again" "2017-09-08" "2017-09-06" "http://www.nytimes.com/2017/09/06/movies/home-again-review-hallie-meyers-shyer.html" "PG-13" 0
"191" "How Heavy This Hammer" "2017-02-17" "2017-02-16" "http://www.nytimes.com/2017/02/16/movies/how-heavy-this-hammer-review.html" "" 0
"192" "How to Be a Latin Lover" "2017-04-28" "2017-04-28" "http://www.nytimes.com/2017/04/28/movies/how-to-be-a-latin-lover-review-eugenio-derbez.html" "PG-13" 0
